,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
C20H26O11,191.694713,207.7610944,233.692706,211.7580608,262.1043173,249.6135173,248.7125466,218.0664457,213.3719702,229.7214695,238.768393,235.8090541
C19H26O10N2,11.78949574,13.27560554,14.12292288,11.69944477,15.74489223,15.36230123,15.20164854,12.19575176,13.00204674,13.93196346,13.99228314,13.59903165
C24H26O8,12.59619287,9.860923468,9.597380034,8.571178473,9.294076833,8.979642284,9.150403584,8.976395373,10.80272321,7.855818572,9.498437716,8.436349516
C21H30O8S1,9.569315863,6.052239529,6.619688774,6.25716449,6.290186426,6.269732483,6.306911482,5.94523525,6.001637018,5.613582802,6.902739761,5.625686514
C21H30O10,111.7305751,125.5615017,137.4844511,129.8178604,160.9855915,145.750046,147.1939352,133.8506197,126.7029052,134.4232474,144.0354486,141.4460178
C25H30O7,8.358101114,7.337773218,6.824154506,6.581534367,6.65435278,6.183514079,6.888606766,6.091393533,7.062068431,6.996830065,6.377906228,5.34786063
C22H34O9,26.94976875,27.09503988,29.34346765,27.94103117,33.13727411,31.17833521,31.7995279,29.63795339,30.12580295,28.73284714,31.36067179,31.19509307
C18H21O12N1,11.48159036,11.23934002,14.25758154,9.203371543,10.2374072,14.28672739,11.45759581,10.15980138,10.40048942,12.13418941,11.56781528,12.33794906
C21H21O8N3,8.226584369,6.956313263,7.017815437,5.72901029,5.207992264,6.596335437,7.234718035,5.572021819,5.728188349,5.25484568,5.772772587,5.364216671
C19H25O11N1,21.17842718,23.89375964,27.74639412,23.25299331,28.39837613,29.3965363,26.95986438,24.49675977,22.43541026,24.5391369,25.04265086,24.5096604
C22H25O7N3,7.593934317,6.443345076,6.585576534,6.345976786,5.922893202,6.29660995,5.745210471,4.981412728,5.724171828,5.188534224,5.705707636,5.312773415
C20H29O10N1,11.49101284,12.91115834,13.14610625,12.49550619,13.77161166,14.65216872,13.60082023,11.77149584,10.35824913,12.84161681,12.42970933,12.09100277
C21H16O11,13.76546526,9.292691359,6.706502388,6.526726536,6.752097758,7.159022545,7.688130919,7.721433293,12.23782788,5.742464746,8.122172993,6.963774638
C18H20O11S1,10.58336373,8.337817006,7.647837926,7.011600396,7.842897366,8.727486783,7.664129932,0,9.165213562,6.889901506,8.043363836,7.550310305
C18H20O13,30.89190979,25.90257767,31.704025,22.57770114,25.47188721,33.83932326,29.9419266,29.35800128,35.72814881,31.22606905,31.55556797,30.195855
C22H20O10,19.66870886,15.21045165,11.47218905,11.66638814,12.58368327,12.52957907,12.09880031,13.32127905,17.42526354,12.39760022,13.03355097,13.25249489
C19H24O10S1,20.66120504,18.3995506,18.07525521,17.27754045,19.37684413,19.16475439,18.39288713,17.27340059,16.101243,17.42315819,17.86275881,16.55414275
C19H24O12,97.3750447,103.6584624,120.1181585,98.9736323,117.4614744,130.640612,117.8501974,109.0891562,116.7228555,116.9405771,117.3410715,118.1614002
C18H24O11N2,5.475079071,6.017854145,6.954885484,5.333785531,5.916392821,7.261683694,7.018922167,6.678357221,5.849136931,6.250932073,6.025339335,6.240541454
C23H24O9,21.03281002,18.43972938,18.21797157,16.6421961,18.27933929,18.66794351,18.30253477,16.94105986,20.50392328,15.65043084,18.30544267,17.70957968
C20H28O9S1,20.62828551,18.15233978,17.58675577,17.04012639,19.09492115,17.98225409,16.43887652,17.40154204,15.78332472,15.95360755,17.35637099,16.9539933
C22H24O8N2,7.23194129,6.462074951,6.497942812,5.384783249,5.675581289,6.053517856,6.311582074,0,5.136825329,0,5.434267792,5.414398071
C20H28O11,95.45591436,107.6881093,121.3476571,112.0016759,136.8743496,132.9399379,124.446423,114.2145091,113.0848225,116.5363511,123.7531983,121.8540829
C24H28O8,19.09486229,17.96693318,18.81077224,16.24427234,17.3630765,18.07669637,18.35901758,15.57564373,17.76735169,17.95373208,18.17465984,16.62177768
C21H32O8S1,8.894730914,7.030679002,6.38954372,5.406524652,6.735340821,6.649908933,6.540310142,5.969625921,5.474879274,3.573943209,4.981535365,4.579436767
