Id	Sample_1540_DNA	Sample_1540_RNA	Sample_1541_DNA	Sample_1541_RNA	Sample_1542_DNA	Sample_1542_RNA	Sample_1543_DNA	Sample_1543_RNA	Sample_1544_DNA	Sample_1544_RNA
Bac361	0	0	0	0	0	0	0	0	0	0
Bac365	0	0	0	0	0	0	0	0	0	0
Bac368	0	0	0	0	0	0	0	0	0	0
Bac369	3	1	0	1	1	1	1	0	5	0
Bac37	9	5	3	2	13	2	10	1	18	3
Bac371	0	0	0	1	2	0	0	1	0	1
Bac372	0	0	0	0	0	0	0	0	0	0
Bac373	0	0	0	0	0	0	0	0	1	0
Bac375	0	1	0	0	1	2	0	0	1	0
Bac376	0	0	0	0	0	0	0	0	0	0
Bac378	0	0	0	0	0	0	0	0	0	0
Bac38	36	24	12	13	29	33	17	20	38	35
Bac381	0	0	0	0	0	0	0	0	0	0
Bac382	0	3	0	0	0	2	0	1	0	1
Bac383	0	0	0	0	0	0	0	0	0	0
Bac388	0	0	0	0	0	0	0	3	0	0
Bac389	0	0	0	0	0	0	0	0	0	0
Bac39	77	119	23	43	62	32	36	46	111	59
Bac390	0	0	0	0	1	0	0	0	0	0
Bac392	0	0	0	0	0	0	0	0	0	0
Bac393	0	0	0	0	0	0	0	0	0	0
Bac394	0	0	0	0	0	0	0	0	0	0
Bac396	0	0	0	0	0	0	0	0	0	0
Bac4	163	74	58	59	139	85	108	62	210	91
Bac40	9	4	2	1	21	0	6	1	14	0
Bac400	0	0	5	0	1	0	1	0	0	0
Bac401	1	0	0	0	0	1	0	0	0	0
Bac402	0	0	0	0	0	0	0	0	0	1
Bac403	1	0	0	0	0	0	1	0	2	0
Bac404	0	0	0	0	0	0	0	0	0	0
Bac405	0	0	0	1	0	0	0	1	0	0
Bac406	1	0	1	0	0	1	0	1	4	0
Bac408	0	0	0	1	0	0	0	0	0	0
Bac410	0	0	0	0	0	0	0	0	0	0
Bac412	0	0	0	0	0	0	0	0	0	0
Bac413	0	0	0	0	0	0	0	0	0	0
Bac416	2	1	0	0	6	0	1	0	4	0
Bac417	0	0	0	0	0	0	0	0	0	0
Bac42	6	5	3	1	3	2	3	3	7	3
Bac421	0	0	0	0	0	0	0	0	0	0
Bac422	0	0	0	0	0	0	0	0	0	0
Bac423	6	2	3	0	2	0	2	1	6	1
Bac425	0	0	0	0	0	0	0	0	0	0
Bac426	0	0	0	0	0	1	0	0	0	0
Bac427	0	0	0	0	5	0	0	2	0	0
Bac428	0	0	0	0	0	0	0	0	0	0
